	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.041292770250842	1.04215717350299	0.0659961545555458	0.625684489178651	0.531521908949962	0.915708390663732	1.18606707698344
BRCA	0.0281821121779748	1.02858298485366	0.0555135928966017	0.507661470055922	0.611690773764444	0.922541857095281	1.14681295877635
CESC	0.00445052250042564	1.00446044078408	0.197060039328096	0.0225846017061619	0.981981626754416	0.682645179468131	1.4779871116738
CHOL	0.319981403284679	1.37710215452109	0.219659801052239	1.45671352587897	0.145195474537321	0.89534702750599	2.11807297698763
COAD	-0.197248310565781	0.820986748316333	0.147876535069802	-1.33387160087755	0.18224594020347	0.614417267148239	1.09700569458183
ESCA	0.0274204073679269	1.02779980655977	0.149098871548827	0.183907544591625	0.854085986034657	0.767353259216849	1.37664423741735
GBM	0.0639500048530404	1.06603910064769	0.0904439234826473	0.707068008447355	0.479524215630632	0.892867729985588	1.2727969955058
HNSC	0.102047263123563	1.10743581136665	0.0941421251568544	1.08397025193066	0.278377988867074	0.920840985685627	1.33184132261897
KICH	0.709842891028357	2.0336717254732	0.181161297273547	3.91829216124744	8.91785761393802e-05	1.42585733724499	2.90058519808178
KIRC	0.450706857359286	1.56942115039397	0.0606854351050824	7.42693624226052	1.111418985701e-13	1.39342617742926	1.76764495112908
KIRP	0.772086787917129	2.16427793372949	0.107979172422646	7.15033066650179	8.65691117733098e-13	1.75146310544901	2.67439203249877
LIHC	0.278970329015551	1.32176812512623	0.0582938341194836	4.78558896029641	1.704866505659e-06	1.1790588242125	1.48175047819737
LUAD	0.164799496639288	1.17915667013265	0.0482765273732787	3.41365681431563	0.000640972596130037	1.07270043666167	1.29617776333287
LUSC	-0.136096049359797	0.872758800538732	0.0792932657918741	-1.71636327499761	0.0860955738605362	0.747136040578776	1.01950365468616
PAAD	0.400880468449853	1.49313878063967	0.0951193652507693	4.21449898654166	2.5033327655987e-05	1.23918008399232	1.79914400420912
PCPG	0.636461844144019	1.88978269098084	0.352581136886666	1.80515001387781	0.0710512104943925	0.94687850770718	3.77163341448994
PRAD	0.387376244886687	1.47311063736411	0.252947159994572	1.53145125209154	0.125657905555633	0.897276622035775	2.41849045948818
READ	0.00240355580107327	1.00240644665696	0.325837113438745	0.00737655626674068	0.994114413018901	0.529286475897655	1.89844012657852
SARC	0.200650234047605	1.22219721408252	0.0805853451978467	2.48990971689684	0.0127775548739537	1.0436308758821	1.43131644016234
STAD	-0.0577950520766754	0.943843366353597	0.0729993754401641	-0.791719815795529	0.428524065394593	0.818017786414059	1.08902314228993
THCA	0.142111708474609	1.15270540830793	0.207896355523596	0.683569984267856	0.494246743819741	0.7669315994944	1.73252707179925
THYM	-0.345701616340208	0.707723628770798	0.147786743513335	-2.33919232619816	0.0193254820625274	0.529745640607144	0.945496661655305
UCEC	0.364544514885989	1.43985802486863	0.111760923464708	3.26182446945426	0.00110697665657031	1.15661441511282	1.79246523706552
