	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.10310005410576	0.90203671648927	0.126029834180492	-0.818060697898769	0.413322529194594	0.704607766847141	1.15478465634237
BRCA	-0.155891845698443	0.855651727781763	0.133259647758461	-1.1698353426613	0.242067237797774	0.658970865319658	1.11103527907985
CESC	-0.203692844966864	0.815712883029953	0.237280285432656	-0.858448246534478	0.390644996312143	0.512346738943696	1.29870546051072
CHOL	-0.437479461084112	0.645661787484853	0.419287877041817	-1.043386859097	0.296769157185263	0.283861567158681	1.46860016306856
COAD	0.0937752222479099	1.09831284187726	0.204017480817651	0.459643075054559	0.645772435323149	0.736319101516272	1.63827217866334
ESCA	0.105021554543635	1.11073455147404	0.248216640503154	0.423104407225674	0.672219087001019	0.682854057268869	1.80672755870068
GBM	0.0622909649924296	1.06427196556584	0.140542280640473	0.443218686281167	0.657607564153484	0.808021312972248	1.40178829259208
HNSC	-0.0350702169861566	0.965537616735787	0.135733865189043	-0.25837484946968	0.796117624990554	0.740001027523885	1.25981296600528
KICH	-1.30016774471376	0.272486081100475	0.811568768824869	-1.60204260520814	0.109146188418881	0.0555310307097035	1.33706620324842
KIRC	-0.73636897448949	0.478849477347491	0.143382281584493	-5.1357041215414	2.81089599671174e-07	0.361536207833752	0.634229205782354
KIRP	-0.309677995603986	0.733683167396914	0.286717473493964	-1.08008065162622	0.280106267008168	0.418267575955652	1.28695366570475
LIHC	-0.275176102956628	0.759438372105626	0.13608467976144	-2.02209465047071	0.0431665745756937	0.581643725532538	0.991580611478941
LUAD	-0.145092116429599	0.86494261401551	0.135379193007947	-1.07174605791217	0.283834107466662	0.663364637402418	1.12777450493814
LUSC	0.163362337654789	1.17746325167728	0.128155182146387	1.27472283928547	0.202407359944911	0.915928289646835	1.51367713468596
PAAD	-0.392505407480275	0.675362694332262	0.185953440065599	-2.11077249951284	0.0347918709623106	0.469086800104612	0.97234620286483
PCPG	-0.870013456695575	0.418945911582113	0.757338686514932	-1.14877725406996	0.250647840864962	0.0949533076750562	1.84844194614059
PRAD	-0.999577124095031	0.368035041420526	0.724849548113276	-1.37901324032946	0.167890671656154	0.0888988446502254	1.52363950562394
READ	-0.428083394550448	0.651757059545315	0.360289909463053	-1.18816370735564	0.234768919074714	0.321666932112553	1.3205810801793
SARC	-0.452249231796404	0.636195589794618	0.14592000674246	-3.09929557908119	0.00193981388625345	0.477950939094718	0.846833420268502
STAD	0.132110822611538	1.14123478687883	0.153445415383968	0.860962983357666	0.389258430763033	0.844815798664928	1.54165776828581
THCA	-1.0586158176292	0.346935700406049	0.700080222864017	-1.51213501403942	0.130499519021223	0.0879710196649576	1.36822763535822
THYM	2.16033170594237	8.6740144034422	0.860467357667976	2.5106492264823	0.0120509376123783	1.60616070362288	46.8437097865821
UCEC	-0.236235697179709	0.789594546791051	0.188300464057427	-1.2545677906968	0.209635702122557	0.545911816237092	1.14205175594037
