	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0260138652710752	1.02635517906756	0.0155732879751032	1.67041573447195	0.0948371386983017	0.995500932979939	1.05816571205568
BRCA	0.00750374737399876	1.00753197103657	0.0164441352714424	0.456317541186256	0.64816165191174	0.975577022086177	1.0405336018371
CESC	-0.00313269420934927	0.996872207557241	0.0235736769454292	-0.132889502838321	0.894280768792988	0.951861010707318	1.04401187465552
CHOL	0.0486892155418428	1.04989400929093	0.0478809923650111	1.01687983345605	0.309210597960502	0.955848544212399	1.15319256112195
COAD	0.0139161509505367	1.01401343131144	0.020454105827846	0.680359780459893	0.496276680892593	0.974166388538237	1.05549036692066
ESCA	0.0107660089195133	1.01082417093039	0.0288655992242038	0.372970220915629	0.70917060766365	0.955223890224908	1.06966075178096
GBM	0.0209743505406024	1.0211958581799	0.0244127786543062	0.859154577920309	0.390255239408231	0.973484071514494	1.07124606480864
HNSC	-0.000154642069284772	0.999845369887184	0.0148204841139615	-0.010434346685011	0.991674746947713	0.971220008393396	1.0293144241731
KICH	0.114059085674329	1.12081834723558	0.127861429442881	0.892052327048964	0.372364885813847	0.87236731493291	1.44002846736242
KIRC	0.0120741646066497	1.01214735159275	0.0175025186772752	0.689852976550536	0.490286649691856	0.978015127143987	1.04747077310328
KIRP	0.110918531382161	1.11730387794387	0.0319350200232632	3.47325698563401	0.000514182767159215	1.04951383461325	1.18947260578841
LIHC	0.0173620028431843	1.01751359847834	0.0257337692354472	0.674677801154323	0.49988049120202	0.967465747268701	1.07015046890419
LUAD	0.0024074879933833	1.00241038831964	0.0153341403779777	0.157001822993667	0.875243411379807	0.972731802192926	1.03299448454943
LUSC	-0.00832298356320425	0.991711556572406	0.016810203085159	-0.495114991832089	0.620518951883614	0.959569650091555	1.02493009376175
PAAD	0.0109701077830174	1.01103050004993	0.02511422963148	0.436808452578084	0.662250268480149	0.962469522945099	1.06204159992869
PCPG	-2.67174254003695	0.0691316556133664	1571.7882322224	-0.00169981075393298	0.998643747896266	0	Inf
PRAD	-0.019922426500525	0.980274713697346	0.0889556137604067	-0.223959182094837	0.822789064454153	0.823433713940885	1.16698951967298
READ	0.0375781301781794	1.03829311593902	0.0385735549631223	0.974194113405039	0.329960166939035	0.962689211941237	1.11983450238576
SARC	0.040044123701671	1.04085669962968	0.0203858719841327	1.96430762112306	0.0494944284193886	1.00008855273989	1.08328674115497
STAD	0.00672869338724211	1.00675138190407	0.0189846584156708	0.354427940704371	0.723018198176734	0.969979294715875	1.04491750544288
THCA	0.180832542365185	1.19821451232383	0.108359604428353	1.66881877540214	0.0951533006117779	0.968944078102354	1.48173465320644
THYM	0.023811348111442	1.02409710181358	0.0803008669326914	0.296526663048367	0.76682790788188	0.874961442767523	1.19865267505466
UCEC	0.0771105113314957	1.08016143987592	0.0315171256790636	2.44662257963198	0.0144201753120445	1.0154563121658	1.1489895943493
