	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.145102225436269	1.15615775295797	0.105875363906744	1.37050037026627	0.170530759897062	0.939497919439715	1.42278202225503
BRCA	0.047781208008285	1.04894113029718	0.133236379996681	0.358619830480799	0.719879509729688	0.807867436049929	1.36195302066999
CESC	0.473658008488878	1.60585770340501	0.220247261627543	2.15057388223003	0.0315098486457283	1.04287498515491	2.4727594393322
CHOL	0.0405346411081331	1.04136738319783	0.329725162882072	0.12293463062942	0.902158862332007	0.54568423050883	1.98731421242847
COAD	0.195052421960486	1.21537469714415	0.172499705605937	1.13074060779019	0.258164284334269	0.866718716130032	1.70428493924044
ESCA	0.0446361380347496	1.04564731939221	0.222560139094834	0.200557647997021	0.841044477114012	0.67599221519761	1.61744217162693
GBM	0.238887437815506	1.26983559307067	0.140309442017712	1.70257563839039	0.0886475123288766	0.964530316067747	1.67177993948702
HNSC	0.11992682446148	1.12741434940869	0.131825816799876	0.909737010342517	0.362961220835294	0.870709372655941	1.45980180662977
KICH	-0.0383752788112768	0.962351722906108	0.586133703296153	-0.0654718856729642	0.947798290277766	0.305081529763208	3.03565030403241
KIRC	0.276509371603943	1.31851930930062	0.132039207118046	2.09414595588065	0.0362469803429285	1.01787516316557	1.70796305078503
KIRP	0.310940213723759	1.36470762795987	0.241268304965123	1.28877356588014	0.197476818456013	0.850494805610341	2.18981573729346
LIHC	0.310303933172651	1.36383956723262	0.117847480116805	2.63309773671098	0.00846099957460984	1.08255838684034	1.71820604575261
LUAD	-0.0158260517937925	0.984298522127004	0.11116468934869	-0.142365816758152	0.88679106159925	0.791595429302065	1.22391255027283
LUSC	0.0499548359657993	1.05122361780444	0.12633236262647	0.395423903481501	0.692530071024522	0.820655354709691	1.34657147886494
PAAD	-0.00214622516373603	0.997856076330688	0.238888628176557	-0.0089842081647763	0.992831735446685	0.624777724871715	1.59371358713937
PCPG	0.999560076762549	2.71708625611608	0.867410249115751	1.1523498572694	0.249177337026504	0.496320807845198	14.8745682358687
PRAD	-1.2875777440404	0.27593836758845	0.543064299931021	-2.37094897271638	0.0177424804036841	0.0951820207018459	0.79996182205346
READ	0.528518799524212	1.69641771204526	0.325285471182371	1.62478452419997	0.104208479706288	0.896704404903191	3.20934416961134
SARC	-0.0879737649006621	0.915784902116049	0.135341702038421	-0.65001225472758	0.51568430576669	0.702409559840676	1.19397860577799
STAD	0.16394310441562	1.17814728180771	0.120853690398696	1.35654197960172	0.174926788019689	0.92966983112554	1.49303652883994
THCA	-0.0400794261766829	0.960713130351072	0.55039717699069	-0.0728190983751372	0.9419500729971	0.326659129153756	2.82548270186113
THYM	1.43657056915662	4.20624602402605	0.594896924812101	2.4148226511851	0.0157428728827953	1.31074282961517	13.4980754537711
UCEC	0.347924687094167	1.41612559319032	0.132770657675614	2.620493813808	0.00878025231011732	1.0916594610651	1.83703047260912
