	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.259131528869719	0.771721512709775	0.146590043471127	-1.76772939507832	0.0771061533469536	0.57900582873193	1.02858047989495
BRCA	-0.101268395056196	0.90369045428361	0.143671572107949	-0.704860353167898	0.480897145196448	0.681908699371218	1.19760378173258
CESC	0.0312667756598183	1.03176071582071	0.23907322156313	0.130783261527105	0.895946764621359	0.645772420011873	1.64846026513688
CHOL	0.137408224486446	1.14729640742324	0.465520893088417	0.295170907528629	0.76786332484	0.460705642237813	2.85711509868337
COAD	-0.0666913059382011	0.935483935104959	0.185653113204106	-0.359225357373248	0.719426508474887	0.650141842000724	1.34606040759715
ESCA	0.423523804409072	1.52733411081627	0.342360606526326	1.23706932496191	0.216061346742802	0.78075751765241	2.98780278552688
GBM	-0.424990957061054	0.65377569715683	0.182365998642965	-2.33042869955763	0.0197835043861907	0.457297211352943	0.93467148187574
HNSC	-0.21436265225121	0.807055651396805	0.164926701702312	-1.2997449778516	0.19368838923363	0.584140906106686	1.11503717278201
KICH	-1.53608874150091	0.215221243266898	0.641184716403496	-2.39570392463044	0.016588483817245	0.0612502288590932	0.756245069057772
KIRC	-0.533447269314337	0.586579383205112	0.141042173807587	-3.78218269694338	0.000155459192603011	0.444909294454799	0.773360721139635
KIRP	-0.0316517055155293	0.968843966331036	0.330647375240276	-0.0957264683940967	0.923737818691533	0.506764615428485	1.85225764096096
LIHC	-0.18257453697204	0.833122543182252	0.136778104221817	-1.33482283594129	0.181934337610796	0.637210836204324	1.08926768429264
LUAD	-0.443724976003111	0.64164186347309	0.144606232632023	-3.06850519460148	0.00215132588262142	0.48328536407519	0.851886507568987
LUSC	-0.076846238225462	0.926032231019234	0.143042013333851	-0.537228443828651	0.591109825928117	0.699630155649865	1.22569858654809
PAAD	-0.460585140700568	0.630914363803751	0.256437524038661	-1.79609104567368	0.0724800383075227	0.381672086204236	1.04291864362564
PCPG	1.1057620690581	3.02152620328263	1.23207221579198	0.897481539543779	0.369462019697668	0.270075129779831	33.8040033696037
PRAD	0.800143789385171	2.22586096066231	0.747982103083103	1.06973654327699	0.284737912532915	0.513824149459413	9.64232027905473
READ	-0.0242815055034436	0.9760109186371	0.486364376221083	-0.0499245148094609	0.960182541666264	0.376236190621374	2.53191302975285
SARC	-0.0629651306697195	0.938976214590055	0.186850005132949	-0.336982226063724	0.73613029883772	0.651039859041609	1.35425860540057
STAD	0.167572172812354	1.18243062644913	0.175650426670938	0.954009483428595	0.340078842015115	0.838034225597917	1.66835929089572
THCA	1.13687205518641	3.1170032865703	0.823830013695563	1.37998377855474	0.167591639413344	0.620143050440065	15.6668844093239
THYM	-0.470918249229196	0.624428623846193	0.616565980653293	-0.763775920186556	0.44500078893936	0.186492292952753	2.09076257310661
UCEC	-0.0612438850607521	0.940593815020792	0.179892838556357	-0.340446487765912	0.733520314986965	0.661115069903098	1.33821896539894
