	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.150467250984437	0.86030590371751	0.0521873407256611	-2.88321360874497	0.00393640407777183	0.776660035386708	0.952960387105131
BRCA	-0.0687068560417793	0.93360031926139	0.0819144619951929	-0.83876344137878	0.401602069661737	0.795124755592795	1.09619220127935
CESC	-0.196949946597653	0.82123173772653	0.0527559026379334	-3.73323053439785	0.000189039422012581	0.740559264241621	0.910692228987218
CHOL	-0.108310566746771	0.897348866432374	0.186287615403049	-0.581415820436758	0.560960237516038	0.622863687869265	1.29279488236354
COAD	0.0237850177470352	1.0240701373187	0.0637168582054018	0.373292381591701	0.708930845948943	0.903844696239738	1.16028743711273
ESCA	-0.0222663346844472	0.977979730439141	0.0839278511644511	-0.265303285804587	0.790775833476007	0.829641250230964	1.15284088500126
GBM	-0.358059069679188	0.699031782203845	0.160552934861175	-2.23016209569007	0.0257366836390147	0.510309926091312	0.957546399839472
HNSC	-0.04713771261044	0.953956016770866	0.0295917523606912	-1.59293414042814	0.111174966412781	0.900201653350681	1.01092025164147
KICH	-0.30648299508427	0.736031034218654	0.346765370698007	-0.883833914751486	0.376785875572206	0.373017242920441	1.45232343441166
KIRC	-0.221420610884907	0.80137954043517	0.0865667562797816	-2.55780186760471	0.0105336089624912	0.676320410331531	0.949563487982382
KIRP	-0.578040797526568	0.560996396109917	0.135288420086087	-4.27265539178259	1.93158855176017e-05	0.430330729128689	0.731337399691483
LIHC	-0.218695775384937	0.803566145572637	0.0882423685200894	-2.47835341517548	0.0131990333759544	0.675942247287915	0.955286569083798
LUAD	-0.325898405546385	0.721878522560508	0.0633762205542759	-5.14228211616505	2.71421132256887e-07	0.637555775173089	0.817353746333278
LUSC	0.021433743583071	1.02166509622624	0.063180515114636	0.339246103710633	0.734424340581496	0.902670406469151	1.156346282504
PAAD	-0.322063916778106	0.724651871436771	0.0727913573598251	-4.42448016439736	9.66747853564874e-06	0.62830324453958	0.835775303311734
PCPG	-0.546939239216476	0.578718421000441	0.529238844152788	-1.03344500362974	0.301395695001762	0.20510600970843	1.63288736045007
PRAD	-0.386917181288713	0.679147338704951	0.509534583524534	-0.75935411216319	0.447640755724656	0.250176999439413	1.84365912415429
READ	0.0688282594929107	1.07125221595047	0.187386723198587	0.367305955929271	0.713390811929205	0.7419725959659	1.54666266169152
SARC	-0.177889359221202	0.837035028573167	0.0836375021631954	-2.12690903745667	0.033427641813764	0.71047902651087	0.986134161481491
STAD	-0.0135043322552645	0.986586442164166	0.0714561227216459	-0.188987755575124	0.850102413497068	0.857652940768312	1.13490289789036
THCA	-0.369015898536869	0.691414417885312	0.345584794171181	-1.06780131753737	0.285610143636824	0.351217479133593	1.36113355872544
THYM	0.77264152573905	2.16547887362907	0.513817118346523	1.50372865782563	0.132651247147742	0.791028310676789	5.92810483372176
UCEC	0.0388650263090587	1.03963015146104	0.0897134204477906	0.43321307018582	0.664859984426843	0.871996344910353	1.23949011728715
