,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000084676.14,27872,-0.55007827632588,4.99565887258288e-24,-0.656720090829257,-0.443436461822503,93.0179695527095,0.0580573038082593,NCOA1
ENSG00000125740.12,22323,-2.85215054449452,4.06417637567733e-23,-3.41667170685682,-2.28762938213222,92.9209260611633,1.60253440999852,FOSB
ENSG00000198300.11,22826,-2.57998321334523,3.92328822970259e-20,-3.13021138608161,-2.02975504060885,98.0940085929228,1.66332916900225,PEG3
ENSG00000119508.16,17651,-2.11639050456782,1.13454296627578e-19,-2.5734650320424,-1.65931597709325,90.5981389109716,1.00766178595766,NR4A3
ENSG00000198963.9,20647,-2.30488420140253,1.69609880691843e-18,-2.81964770837021,-1.79012069443485,95.5107848325043,1.36984736153464,RORB
ENSG00000197579.6,30279,-0.314871378646571,2.25884186677512e-17,-0.387649972658296,-0.242092784634847,88.025212930141,0.023708366227373,TOPORS
ENSG00000130844.15,22356,-0.884625520607372,5.92840940564993e-17,-1.09185733700418,-0.677393704210566,91.5678796316903,0.195572158719505,ZNF331
ENSG00000185129.5,17365,-0.503036861154596,2.68796681536137e-15,-0.627766032691861,-0.378307689617331,94.0888568717913,0.0803792438461775,PURA
ENSG00000165495.14,13980,-2.30315278024361,5.8749110537056e-15,-2.88139346271843,-1.72491209776879,98.3504259065051,1.89938746687729,PKNOX2
ENSG00000124440.14,19281,-2.38178459495316,1.1019592424459e-14,-2.98593518236861,-1.7776340075377,97.5506764948635,1.93278127335122,HIF3A
ENSG00000108924.12,23959,-2.42511929603008,4.93696308486637e-14,-3.05604770286453,-1.79419088919563,98.9979829522988,2.26303886276882,HLF
ENSG00000077092.17,2467,-0.789107152343416,7.51907824768545e-14,-0.995916947280154,-0.582297357406679,92.2453274408642,0.19784376506964,RARB
ENSG00000170345.8,19761,-1.83474934105362,8.71020101232819e-14,-2.31684943493642,-1.35264924717082,94.5362332705794,1.19616597586911,FOS
ENSG00000184481.15,17354,-0.820922161022361,1.44230687623495e-13,-1.03857591837397,-0.603268403670754,98.1428523599665,0.264863243610371,FOXO4
ENSG00000069667.14,12881,-0.954873506746626,3.9537027765516e-13,-1.21276002270734,-0.696986990785915,96.3429943236446,0.352373520617297,RORA
ENSG00000119138.4,20991,-1.4443505109309,4.44670820913214e-13,-1.83528953896244,-1.05341148289935,98.0648924114217,0.868075438678274,KLF9
ENSG00000144655.13,17267,-1.32789114063664,8.68092126184334e-13,-1.69189629274467,-0.963885988528614,96.527361360802,0.719932210063681,CSRNP1
ENSG00000172059.9,24623,-0.687056806535816,1.45862772257532e-12,-0.877299351391285,-0.496814261680348,95.5737800163738,0.185530389815901,KLF11
ENSG00000120738.7,20430,-1.65202735060322,2.00169253263924e-12,-2.11232671079565,-1.19172799041078,95.5064441489095,1.13218787170384,EGR1
ENSG00000118526.6,5913,-3.32293085749045,4.21487765987808e-12,-4.26276189637181,-2.38309981860909,99.2318701815421,5.09287256334515,TCF21
