	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0361320163307302	0.964512953616759	0.0405796028395296	-0.890398471212566	0.373251962983344	0.890772178252476	1.04435821010886
BRCA	-0.132964903875787	0.875495818079566	0.0605944288877459	-2.19434205943439	0.0282108279100568	0.777456331204446	0.985898367162753
CESC	-0.20802677110959	0.812185293319398	0.0762915613382569	-2.72673369715497	0.006396463933448	0.699383893490216	0.943180071523258
CHOL	-0.11968257824923	0.887202009241232	0.133951620376578	-0.893476151410236	0.371602237972981	0.682342921637987	1.15356572222095
COAD	-0.0533898267959118	0.948010380591614	0.0693733634738526	-0.769601243509475	0.4415364671636	0.827489284804851	1.08608497803256
ESCA	-0.0392376644086803	0.96152216239257	0.0840190697258067	-0.467009031839213	0.640493416206052	0.815534122730518	1.13364339149495
GBM	0.0198903820405273	1.02008951376681	0.0941751177259626	0.211206341131483	0.832726262856708	0.848157052479881	1.22687492022202
HNSC	-0.148527806436066	0.861976038355656	0.0438464792953753	-3.3874511436938	0.000705452803265174	0.790993659773295	0.939328250636372
KICH	-0.0543524859607992	0.947098208836023	0.243383042062111	-0.223320760149462	0.823285870963961	0.587796497984431	1.52602987642189
KIRC	-0.00213082297085394	0.997871445620804	0.0687308370231865	-0.0310024301047738	0.975267601662364	0.872109065165221	1.14176937467874
KIRP	0.089557192227977	1.09368988208475	0.127788826511596	0.700821775054412	0.483414247098088	0.851373539092211	1.40497384902282
LIHC	-0.161827876828883	0.850587597775679	0.0709995328530883	-2.27928086743523	0.0226503746137514	0.740089314985968	0.97758371434334
LUAD	-0.146840081484972	0.86343204514672	0.0616881084260002	-2.38036284839432	0.0172955980775127	0.765101669809617	0.97439977718485
LUSC	0.0398872237030138	1.04069340202594	0.0518513593038558	0.76926090730369	0.441738439456687	0.940127689469807	1.1520166559833
PAAD	-0.0223018035395219	0.977945043232977	0.068481260291621	-0.325662866666762	0.744679441980311	0.855112185683574	1.11842226504985
PCPG	-0.0347411225637469	0.965855422071195	0.340000682809609	-0.102179567042814	0.918614145994761	0.496024372385915	1.88070737705311
PRAD	-0.279875641066253	0.755877735760351	0.234426187331776	-1.19387532703483	0.232526740186304	0.477427709008365	1.19672809231143
READ	-0.228717004306612	0.795553639905473	0.180703235640666	-1.2657050854442	0.205618686966387	0.558283244894423	1.13366395956686
SARC	-0.144970801927839	0.865047550462807	0.0555714082246883	-2.60873003868623	0.00908789060334567	0.775778094322308	0.964589320114018
STAD	0.0356963088175304	1.03634107105077	0.0563439110405674	0.633543326302449	0.526378896926848	0.927988695753617	1.15734471816434
THCA	-0.142746852827299	0.866973513012114	0.18182446115297	-0.78508057673937	0.432406327010544	0.607066919202869	1.23815521565816
THYM	-0.279474265539058	0.75618118748001	0.170717828669253	-1.63705377298647	0.101619234370306	0.541141186357021	1.05667430739863
UCEC	-0.20092742757075	0.817971791599856	0.0760233287310857	-2.64297066340627	0.00821821555433831	0.704737127942942	0.949400599633583
