	SNP	Chromosome	Position	trait1	symbol
1	ENSG00000168505	2	237073878	2.42531496676847e-28	GBX2
2	ENSG00000084676	2	24714782	4.99565887258288e-24	NCOA1
3	ENSG00000125740	19	45971252	4.06417637567733e-23	FOSB
4	ENSG00000170515	12	56498102	4.86855023575443e-21	PA2G4
5	ENSG00000115163	2	26987156	1.03874150303766e-20	CENPA
6	ENSG00000198300	19	57321444	3.92328822970259e-20	PEG3
7	ENSG00000119508	9	102584136	1.13454296627578e-19	NR4A3
8	ENSG00000170265	7	148892576	2.47496690981685e-19	ZNF282
9	ENSG00000101412	20	32263488	3.87215178905662e-19	E2F1
10	ENSG00000185122	8	145515279	7.91562338749272e-19	HSF1
11	ENSG00000198963	9	77112280	1.69609880691843e-18	RORB
12	ENSG00000122386	16	3162560	2.27343073523767e-18	ZNF205
13	ENSG00000111206	12	2966846	3.71637308541796e-18	FOXM1
14	ENSG00000177732	20	306206	5.16380890832717e-18	SOX12
15	ENSG00000181220	7	149169884	6.93317025928253e-18	ZNF746
16	ENSG00000197961	19	9671028	7.19882071653227e-18	ZNF121
17	ENSG00000197579	9	32540541	2.25884186677512e-17	TOPORS
18	ENSG00000101057	20	42295753	4.21504251220862e-17	MYBL2
19	ENSG00000130844	19	54024234	5.92840940564993e-17	ZNF331
20	ENSG00000185129	5	139487361	2.68796681536137e-15	PURA
21	ENSG00000167962	16	2047654	4.75220744172714e-15	ZNF598
22	ENSG00000010539	16	3272324	5.58177095932648e-15	ZNF200
23	ENSG00000165495	11	125034582	5.8749110537056e-15	PKNOX2
24	ENSG00000071564	19	1609290	8.44172048442559e-15	TCF3
25	ENSG00000165891	12	77415026	8.71502572153095e-15	E2F7
26	ENSG00000124440	19	46800302	1.1019592424459e-14	HIF3A
27	ENSG00000167967	16	2273566	2.8938164942299e-14	E4F1
28	ENSG00000213347	5	176728461	3.01377455566582e-14	MXD3
29	ENSG00000130816	19	10244020	3.32610424132608e-14	DNMT1
30	ENSG00000108924	17	53342372	4.93696308486637e-14	HLF
31	ENSG00000077092	3	25215822	7.51907824768545e-14	RARB
32	ENSG00000170345	14	75745476	8.71020101232819e-14	FOS
33	ENSG00000184481	23	70316046	1.44230687623495e-13	FOXO4
34	ENSG00000148300	9	136271185	2.49427603994408e-13	REXO4
35	ENSG00000069667	15	60780482	3.9537027765516e-13	RORA
36	ENSG00000119138	9	72999502	4.44670820913214e-13	KLF9
37	ENSG00000144655	3	39183345	8.68092126184334e-13	CSRNP1
38	ENSG00000147789	8	146052848	1.12149339024537e-12	ZNF7
39	ENSG00000171163	1	249144204	1.3623991447908e-12	ZNF692
40	ENSG00000172059	2	10182975	1.45862772257532e-12	KLF11
41	ENSG00000166526	7	99661655	1.71340097210936e-12	ZNF3
42	ENSG00000126456	19	50162825	1.83750027058524e-12	IRF3
43	ENSG00000120738	5	137801178	2.00169253263924e-12	EGR1
44	ENSG00000118526	6	134210275	4.21487765987808e-12	TCF21
45	ENSG00000123407	12	54348617	4.47086501158806e-12	HOXC12
46	ENSG00000175213	11	46722367	4.65056619129607e-12	ZNF408
47	ENSG00000123364	12	54332534	5.21039324392929e-12	HOXC13
48	ENSG00000179388	8	22545171	5.83475981538289e-12	EGR3
49	ENSG00000151623	4	148999912	8.76398787752138e-12	NR3C2
50	ENSG00000198393	12	133562950	8.92295254234355e-12	ZNF26
51	ENSG00000090447	16	4307186	9.11340936759451e-12	TFAP4
52	ENSG00000174306	20	39807087	1.04447723171864e-11	ZHX3
